"|","|__code","|__name","|__description","|__keywords__-","|__keywords","|__children__001","|__children__002","|__children__003","|__children__004","|__children__005","|__children__006","|__children__007","|__children__008","|__parent"
"5bb3ae29da3c38c71367bd00","G25","Down Syndrome","Voluntary health organizations active in the prevention or treatment of Down Syndrome, a hereditary condition that results in mental retardation.","","Trisomy","","","","","","","","","5bb3ae29da3c38c71367bcff"
"","","","","","Down Anomaly","","","","","","","","",""
"","","","","","Downs Anomaly","","","","","","","","",""
"","","","","","Downs Syndrome","","","","","","","","",""
"","","","","","Mongolism","","","","","","","","",""
"","","","","","Trisomy 21","","","","","","","","",""
"5bb3ae29da3c38c71367bd01","G30","Cancer","Voluntary health organizations active in the prevention or treatment of cancer. The associated medical specialty is medical oncology, a subspecialty of internal medicine.","","Bladder Cancer","5bb3ae29da3c38c71367bd02","","","","","","","","5bc787d9da3c38f0620b0245"
"","","","","","Bone Cancer","","","","","","","","",""
"","","","","","Burkitts Lymphoma","","","","","","","","",""
"","","","","","Cancer","","","","","","","","",""
"","","","","","Carcinoma","","","","","","","","",""
"","","","","","Cervical Cancer","","","","","","","","",""
"","","","","","Colon Cancer","","","","","","","","",""
"","","","","","Colorectal Cancer","","","","","","","","",""
"","","","","","Fallopian Tube Cancer","","","","","","","","",""
"","","","","","Kaposi Sarcoma","","","","","","","","",""
"","","","","","Leukemia","","","","","","","","",""
"","","","","","Liver Cancer","","","","","","","","",""
"","","","","","Lung Cancer","","","","","","","","",""
"","","","","","Lymphoma","","","","","","","","",""
"","","","","","Melanoma","","","","","","","","",""
"","","","","","Multiple Myeloma","","","","","","","","",""
"","","","","","Oral Cancer","","","","","","","","",""
"","","","","","Ovarian Cancer","","","","","","","","",""
"","","","","","Pagets Disease","","","","","","","","",""
"","","","","","Pancreatic Cancer","","","","","","","","",""
"","","","","","Prostate Cancer","","","","","","","","",""
"","","","","","Rectal Cancer","","","","","","","","",""
"","","","","","Renal Cancer","","","","","","","","",""
"","","","","","Sarcoma","","","","","","","","",""
"","","","","","Skin Cancer","","","","","","","","",""
"","","","","","Stomach Cancer","","","","","","","","",""
"","","","","","Testicular Cancer","","","","","","","","",""
"","","","","","Uterine Cancer","","","","","","","","",""
"","","","","","Vaginal Cancer","","","","","","","","",""
"","","","","","Vulva Cancer","","","","","","","","",""
"","","","","","Womens Cancer","","","","","","","","",""
"5bb3ae29da3c38c71367bd02","G32","Breast Cancer","Voluntary health organizations active in the prevention or treatment of breast cancer.","Breast cancer","","","","","","","","","","5bb3ae29da3c38c71367bd01"
"5bb3ae29da3c38c71367bd03","G40","Diseases of Specific Organs","Voluntary health organizations active in the prevention or treatment of diseases and conditions that affect specific organs or organ systems in the body. ","","Alopecia","5bb3ae2ada3c38c71367bd04","5bb3ae2ada3c38c71367bd05","5bb3ae2ada3c38c71367bd06","5bb3ae2ada3c38c71367bd07","5bb3ae2ada3c38c71367bd08","","","","5bc787d9da3c38f0620b0245"
"","","","","","Antitrypsin Deficiency","","","","","","","","",""
"","","","","","Bedwetting","","","","","","","","",""
"","","","","","Bladder Diseases","","","","","","","","",""
"","","","","","Cystitis","","","","","","","","",""
"","","","","","Diseases of the Spleen","","","","","","","","",""
"","","","","","Dwarfism","","","","","","","","",""
"","","","","","Dystrophic Epidermolysis Bullosa","","","","","","","","",""
"","","","","","Endometriosis","","","","","","","","",""
"","","","","","Enuresis","","","","","","","","",""
"","","","","","Epididymitis","","","","","","","","",""
"","","","","","Erectile Dysfunction","","","","","","","","",""
"","","","","","Female Genital Diseases","","","","","","","","",""
"","","","","","Genitourinary Diseases","","","","","","","","",""
"","","","","","Hansens Disease","","","","","","","","",""
"","","","","","Hematuria","","","","","","","","",""
"","","","","","Hemoglobinuria","","","","","","","","",""
"","","","","","Hepatitis","","","","","","","","",""
"","","","","","Hydrocele","","","","","","","","",""
"","","","","","Impotence","","","","","","","","",""
"","","","","","Incontinence","","","","","","","","",""
"","","","","","Infertility","","","","","","","","",""
"","","","","","Leprosy","","","","","","","","",""
"","","","","","Liver Diseases","","","","","","","","",""
"","","","","","Male Genital Diseases","","","","","","","","",""
"","","","","","Menopausal Disorders","","","","","","","","",""
"","","","","","Oliguria","","","","","","","","",""
"","","","","","Ovarian Cysts","","","","","","","","",""
"","","","","","Penile Diseases","","","","","","","","",""
"","","","","","Polyuria","","","","","","","","",""
"","","","","","Prostatic Diseases","","","","","","","","",""
"","","","","","Psoriasis","","","","","","","","",""
"","","","","","Renal Failure","","","","","","","","",""
"","","","","","Sjogrens Syndrome","","","","","","","","",""
"","","","","","Skin Diseases","","","","","","","","",""
"","","","","","Thyroid Diseases","","","","","","","","",""
"","","","","","Ureteral Diseases","","","","","","","","",""
"","","","","","Urethral Diseases","","","","","","","","",""
"","","","","","Urinary Tract Infections","","","","","","","","",""
"","","","","","Urination Disorders","","","","","","","","",""
"","","","","","Urogenital Diseases","","","","","","","","",""
"","","","","","Uterine Diseases","","","","","","","","",""
"","","","","","Vaginal Diseases","","","","","","","","",""
"","","","","","Vesico-Ureteral Reflux","","","","","","","","",""
"","","","","","Vitiligo","","","","","","","","",""
"","","","","","Vulvar Diseases","","","","","","","","",""
"5bb3ae2ada3c38c71367bd04","G41","Eye Diseases, Blindness & Vision Impairments","Voluntary health organizations active in the prevention or treatment of blindness and diseases or other conditions that affect the eyes. The associated medical specialty is ophthalmology.","","Achromatic Vision","","","","","","","","","5bb3ae29da3c38c71367bd03"
"","","","","","Amaurosis","","","","","","","","",""
"","","","","","Amblyopia","","","","","","","","",""
"","","","","","Ametropia","","","","","","","","",""
"","","","","","Aniseikonia","","","","","","","","",""
"","","","","","Anisometropia","","","","","","","","",""
"","","","","","Asthenopia","","","","","","","","",""
"","","","","","Astigmatism","","","","","","","","",""
"","","","","","Blindness","","","","","","","","",""
"","","","","","Choroid Diseases","","","","","","","","",""
"","","","","","Color Blindness","","","","","","","","",""
"","","","","","Conjunctival Diseases","","","","","","","","",""
"","","","","","Corneal Diseases","","","","","","","","",""
"","","","","","Diochromatic Vision","","","","","","","","",""
"","","","","","Diplopia","","","","","","","","",""
"","","","","","Double Vision","","","","","","","","",""
"","","","","","Duane Retraction Syndrome","","","","","","","","",""
"","","","","","Eyelid Diseases","","","","","","","","",""
"","","","","","Glaucoma","","","","","","","","",""
"","","","","","Hemeralopia","","","","","","","","",""
"","","","","","Hemianopsia","","","","","","","","",""
"","","","","","Hyperopia","","","","","","","","",""
"","","","","","Lacrimal Apparatus Diseases","","","","","","","","",""
"","","","","","Lens Diseases","","","","","","","","",""
"","","","","","Low Vision","","","","","","","","",""
"","","","","","Macular Degeneration","","","","","","","","",""
"","","","","","Miller Fisher Syndrome","","","","","","","","",""
"","","","","","Myopia","","","","","","","","",""
"","","","","","Night Blindness","","","","","","","","",""
"","","","","","Nyctalopia","","","","","","","","",""
"","","","","","Ocular Hypertension","","","","","","","","",""
"","","","","","Ocular Hypotension","","","","","","","","",""
"","","","","","Ocular Motility Disorders","","","","","","","","",""
"","","","","","Optic Nerve Diseases","","","","","","","","",""
"","","","","","Orbital Diseases","","","","","","","","",""
"","","","","","Presbyopia","","","","","","","","",""
"","","","","","Proliferative Vitreoretinopathy","","","","","","","","",""
"","","","","","Pupil Disorders","","","","","","","","",""
"","","","","","Refractive Errors","","","","","","","","",""
"","","","","","Retenal Diseases","","","","","","","","",""
"","","","","","Retinal Dysplasia","","","","","","","","",""
"","","","","","Retinitis Pigmentosa","","","","","","","","",""
"","","","","","Retinitis","","","","","","","","",""
"","","","","","Scleral Diseases","","","","","","","","",""
"","","","","","Scleritis","","","","","","","","",""
"","","","","","Scotoma","","","","","","","","",""
"","","","","","Scotoma","","","","","","","","",""
"","","","","","Strabismus","","","","","","","","",""
"","","","","","Tolosa-Hunt Syndrome","","","","","","","","",""
"","","","","","Tunnel Vision","","","","","","","","",""
"","","","","","Uveal Diseases","","","","","","","","",""
"","","","","","Uvenitis","","","","","","","","",""
"","","","","","Vision Disorders","","","","","","","","",""
"","","","","","Vitreous Detachment","","","","","","","","",""
"5bb3ae2ada3c38c71367bd05","G43","Heart & Circulatory System Diseases & Disorders","Voluntary health organizations active in the prevention or treatment of diseases or conditions, including stroke, that affect the heart, lungs and blood vessels. The related medical specialty is cardiovascular medicine, a subspecialty of internal medicine.","","Aneurysm","","","","","","","","","5bb3ae29da3c38c71367bd03"
"","","","","","Angina Pectoris","","","","","","","","",""
"","","","","","Angiodysplasia","","","","","","","","",""
"","","","","","Angioneurotic Edema","","","","","","","","",""
"","","","","","Aortic Diseases","","","","","","","","",""
"","","","","","Arrhythmia","","","","","","","","",""
"","","","","","Arterial Occulsive Diseases","","","","","","","","",""
"","","","","","Arteriosclerosis","","","","","","","","",""
